2024-03-17 at 17:31:33 | INFO | Webpage name is citrusaurora.com
2024-03-17 at 17:31:49 | INFO | Кому могла понравиться принцесса монстров / https://citrusaurora.com/series/who-could-have-loved-the-monster-princess/chapter-27/ / 200
2024-03-17 at 17:31:49 | INFO | got PAGE / Кому могла понравиться принцесса монстров / https://citrusaurora.com/series/who-could-have-loved-the-monster-princess/chapter-27/
2024-03-17 at 17:31:49 | INFO | got TEXT / Кому могла понравиться принцесса монстров / 27 / https://citrusaurora.com/series/who-could-have-loved-the-monster-princess/chapter-28/
2024-03-17 at 17:32:01 | INFO | Кому могла понравиться принцесса монстров / https://citrusaurora.com/series/who-could-have-loved-the-monster-princess/chapter-28/ / 200
2024-03-17 at 17:32:01 | INFO | got PAGE / Кому могла понравиться принцесса монстров / https://citrusaurora.com/series/who-could-have-loved-the-monster-princess/chapter-28/
2024-03-17 at 17:32:01 | INFO | got TEXT / Кому могла понравиться принцесса монстров / 28 / https://citrusaurora.com/series/who-could-have-loved-the-monster-princess/chapter-29/
2024-03-17 at 17:32:13 | INFO | Кому могла понравиться принцесса монстров / https://citrusaurora.com/series/who-could-have-loved-the-monster-princess/chapter-29/ / 200
2024-03-17 at 17:32:13 | INFO | got PAGE / Кому могла понравиться принцесса монстров / https://citrusaurora.com/series/who-could-have-loved-the-monster-princess/chapter-29/
2024-03-17 at 17:32:13 | INFO | got TEXT / Кому могла понравиться принцесса монстров / 29 / https://citrusaurora.com/series/who-could-have-loved-the-monster-princess/chapter-30/
2024-03-17 at 17:32:28 | INFO | Кому могла понравиться принцесса монстров / https://citrusaurora.com/series/who-could-have-loved-the-monster-princess/chapter-30/ / 200
2024-03-17 at 17:32:28 | INFO | got PAGE / Кому могла понравиться принцесса монстров / https://citrusaurora.com/series/who-could-have-loved-the-monster-princess/chapter-30/
2024-03-17 at 17:32:28 | INFO | got TEXT / Кому могла понравиться принцесса монстров / 30 / https://citrusaurora.com/series/who-could-have-loved-the-monster-princess/chapter-31/
2024-03-17 at 17:32:35 | INFO | Кому могла понравиться принцесса монстров / https://citrusaurora.com/series/who-could-have-loved-the-monster-princess/chapter-31/ / 200
2024-03-17 at 17:32:36 | INFO | got PAGE / Кому могла понравиться принцесса монстров / https://citrusaurora.com/series/who-could-have-loved-the-monster-princess/chapter-31/
2024-03-17 at 17:32:36 | INFO | got TEXT / Кому могла понравиться принцесса монстров / 31 / https://citrusaurora.com/#
2024-03-17 at 17:32:44 | INFO | Кому могла понравиться принцесса монстров / https://citrusaurora.com/# / 200
2024-03-17 at 17:32:44 | INFO | got PAGE / Кому могла понравиться принцесса монстров / https://citrusaurora.com/#
2024-03-17 at 17:32:44 | INFO | got TEXT / Кому могла понравиться принцесса монстров / 32 / None
2024-03-17 at 17:32:44 | INFO | Parsing finished / Кому могла понравиться принцесса монстров
2024-03-17 at 17:34:08 | INFO | translate from-to / Кому могла понравиться принцесса монстров / en
2024-03-17 at 17:34:08 | ERROR | translating error / can only concatenate str (not "coroutine") to str
2024-03-17 at 17:38:52 | INFO | translate from-to / Кому могла понравиться принцесса монстров / en
2024-03-17 at 17:38:52 | ERROR | translating error / can only concatenate str (not "coroutine") to str
2024-03-17 at 17:40:33 | INFO | translate from-to / Кому могла понравиться принцесса монстров / en
2024-03-17 at 17:40:33 | INFO | Кому могла понравиться принцесса монстров / 27 is translated
2024-03-17 at 17:40:33 | INFO | json file with translation for Кому могла понравиться принцесса монстров is written
2024-03-17 at 17:40:33 | INFO | Translating task is created / Кому могла понравиться принцесса монстров
2024-03-17 at 17:42:01 | INFO | translate from-to / Кому могла понравиться принцесса монстров / en
2024-03-17 at 17:42:01 | ERROR | translating error / name 'e' is not defined
2024-03-17 at 17:42:32 | INFO | translate from-to / Кому могла понравиться принцесса монстров / en
2024-03-17 at 17:42:32 | WARNING | New IAM_TOKEN is set or connection is lost
2024-03-17 at 17:42:44 | INFO | Кому могла понравиться принцесса монстров / 27 is translated
2024-03-17 at 17:42:44 | INFO | json file with translation for Кому могла понравиться принцесса монстров is written
2024-03-17 at 17:42:44 | INFO | Translating task is created / Кому могла понравиться принцесса монстров
2024-03-17 at 17:44:57 | INFO | translate all / Кому могла понравиться принцесса монстров / en
2024-03-17 at 17:44:57 | WARNING | New IAM_TOKEN is set or connection is lost
2024-03-17 at 17:45:09 | INFO | Кому могла понравиться принцесса монстров / 27 is translated
2024-03-17 at 17:45:11 | INFO | Кому могла понравиться принцесса монстров / 28 is translated
2024-03-17 at 17:45:13 | INFO | Кому могла понравиться принцесса монстров / 29 is translated
2024-03-17 at 17:45:14 | INFO | Кому могла понравиться принцесса монстров / 30 is translated
2024-03-17 at 17:45:16 | INFO | Кому могла понравиться принцесса монстров / 31 is translated
2024-03-17 at 17:45:16 | INFO | json file with translation for Кому могла понравиться принцесса монстров is written
2024-03-17 at 17:45:16 | INFO | Translating task is created / Кому могла понравиться принцесса монстров
2024-03-17 at 18:16:30 | INFO | Webpage name is sageinthepages.blogspot.com
2024-03-17 at 18:16:30 | DEBUG | Add sageinthepages.blogspot.com into StepperLibrary.json
2024-03-17 at 18:16:30 | INFO | Parsing finished / Одета как мачеха героя садистского романа
2024-03-17 at 18:16:30 | INFO | Webpage name is salmonlatte.com
2024-03-17 at 18:16:30 | INFO | Webpage name is storyseedling.com
2024-03-17 at 18:16:30 | DEBUG | Add storyseedling.com into StepperLibrary.json
2024-03-17 at 18:16:30 | INFO | Parsing finished / Перевоплощение в комикс в роли богатого парня
2024-03-17 at 18:16:43 | INFO | Остерегайтесь самого сильного мужчины, который без ума от меня / https://salmonlatte.com/novel/beware-of-the-strongest-man-who-is-crazy-about-me/chapter-2/# / 200
2024-03-17 at 18:16:43 | INFO | got PAGE / Остерегайтесь самого сильного мужчины, который без ума от меня / https://salmonlatte.com/novel/beware-of-the-strongest-man-who-is-crazy-about-me/chapter-2/#
2024-03-17 at 18:16:43 | INFO | got TEXT / Остерегайтесь самого сильного мужчины, который без ума от меня / 2 / https://salmonlatte.com/novel/beware-of-the-strongest-man-who-is-crazy-about-me/chapter-3/
2024-03-17 at 18:16:59 | INFO | Остерегайтесь самого сильного мужчины, который без ума от меня / https://salmonlatte.com/novel/beware-of-the-strongest-man-who-is-crazy-about-me/chapter-3/ / 200
2024-03-17 at 18:16:59 | INFO | got PAGE / Остерегайтесь самого сильного мужчины, который без ума от меня / https://salmonlatte.com/novel/beware-of-the-strongest-man-who-is-crazy-about-me/chapter-3/
2024-03-17 at 18:16:59 | INFO | got TEXT / Остерегайтесь самого сильного мужчины, который без ума от меня / 3 / https://salmonlatte.com/novel/beware-of-the-strongest-man-who-is-crazy-about-me/chapter-4/
2024-03-17 at 18:17:12 | INFO | Остерегайтесь самого сильного мужчины, который без ума от меня / https://salmonlatte.com/novel/beware-of-the-strongest-man-who-is-crazy-about-me/chapter-4/ / 200
2024-03-17 at 18:17:12 | INFO | got PAGE / Остерегайтесь самого сильного мужчины, который без ума от меня / https://salmonlatte.com/novel/beware-of-the-strongest-man-who-is-crazy-about-me/chapter-4/
2024-03-17 at 18:17:12 | INFO | got TEXT / Остерегайтесь самого сильного мужчины, который без ума от меня / 4 / https://salmonlatte.com/novel/beware-of-the-strongest-man-who-is-crazy-about-me/chapter-5/
2024-03-17 at 18:17:23 | INFO | Остерегайтесь самого сильного мужчины, который без ума от меня / https://salmonlatte.com/novel/beware-of-the-strongest-man-who-is-crazy-about-me/chapter-5/ / 200
2024-03-17 at 18:17:23 | INFO | got PAGE / Остерегайтесь самого сильного мужчины, который без ума от меня / https://salmonlatte.com/novel/beware-of-the-strongest-man-who-is-crazy-about-me/chapter-5/
2024-03-17 at 18:17:23 | INFO | got TEXT / Остерегайтесь самого сильного мужчины, который без ума от меня / 5 / https://salmonlatte.com/novel/beware-of-the-strongest-man-who-is-crazy-about-me/chapter-6/
2024-03-17 at 18:17:37 | INFO | Остерегайтесь самого сильного мужчины, который без ума от меня / https://salmonlatte.com/novel/beware-of-the-strongest-man-who-is-crazy-about-me/chapter-6/ / 200
2024-03-17 at 18:17:37 | INFO | got PAGE / Остерегайтесь самого сильного мужчины, который без ума от меня / https://salmonlatte.com/novel/beware-of-the-strongest-man-who-is-crazy-about-me/chapter-6/
2024-03-17 at 18:17:37 | INFO | got TEXT / Остерегайтесь самого сильного мужчины, который без ума от меня / 6 / https://salmonlatte.com/novel/beware-of-the-strongest-man-who-is-crazy-about-me/chapter-7/
2024-03-17 at 18:17:47 | INFO | Остерегайтесь самого сильного мужчины, который без ума от меня / https://salmonlatte.com/novel/beware-of-the-strongest-man-who-is-crazy-about-me/chapter-7/ / 200
2024-03-17 at 18:17:47 | INFO | got PAGE / Остерегайтесь самого сильного мужчины, который без ума от меня / https://salmonlatte.com/novel/beware-of-the-strongest-man-who-is-crazy-about-me/chapter-7/
2024-03-17 at 18:17:47 | INFO | got TEXT / Остерегайтесь самого сильного мужчины, который без ума от меня / 7 / https://salmonlatte.com/novel/beware-of-the-strongest-man-who-is-crazy-about-me/chapter-8/
2024-03-17 at 18:18:01 | INFO | Остерегайтесь самого сильного мужчины, который без ума от меня / https://salmonlatte.com/novel/beware-of-the-strongest-man-who-is-crazy-about-me/chapter-8/ / 200
2024-03-17 at 18:18:01 | INFO | got PAGE / Остерегайтесь самого сильного мужчины, который без ума от меня / https://salmonlatte.com/novel/beware-of-the-strongest-man-who-is-crazy-about-me/chapter-8/
2024-03-17 at 18:18:01 | INFO | got TEXT / Остерегайтесь самого сильного мужчины, который без ума от меня / 8 / https://salmonlatte.com/novel/beware-of-the-strongest-man-who-is-crazy-about-me/chapter-9/
2024-03-17 at 18:18:10 | INFO | Остерегайтесь самого сильного мужчины, который без ума от меня / https://salmonlatte.com/novel/beware-of-the-strongest-man-who-is-crazy-about-me/chapter-9/ / 200
2024-03-17 at 18:18:10 | INFO | got PAGE / Остерегайтесь самого сильного мужчины, который без ума от меня / https://salmonlatte.com/novel/beware-of-the-strongest-man-who-is-crazy-about-me/chapter-9/
2024-03-17 at 18:18:10 | INFO | got TEXT / Остерегайтесь самого сильного мужчины, который без ума от меня / 9 / https://salmonlatte.com/novel/beware-of-the-strongest-man-who-is-crazy-about-me/chapter-10/
2024-03-17 at 18:18:19 | INFO | Остерегайтесь самого сильного мужчины, который без ума от меня / https://salmonlatte.com/novel/beware-of-the-strongest-man-who-is-crazy-about-me/chapter-10/ / 200
2024-03-17 at 18:18:19 | INFO | got PAGE / Остерегайтесь самого сильного мужчины, который без ума от меня / https://salmonlatte.com/novel/beware-of-the-strongest-man-who-is-crazy-about-me/chapter-10/
2024-03-17 at 18:18:19 | INFO | got TEXT / Остерегайтесь самого сильного мужчины, который без ума от меня / 10 / https://salmonlatte.com/novel/beware-of-the-strongest-man-who-is-crazy-about-me/chapter-11/
2024-03-17 at 18:18:34 | INFO | Остерегайтесь самого сильного мужчины, который без ума от меня / https://salmonlatte.com/novel/beware-of-the-strongest-man-who-is-crazy-about-me/chapter-11/ / 200
2024-03-17 at 18:18:34 | INFO | got PAGE / Остерегайтесь самого сильного мужчины, который без ума от меня / https://salmonlatte.com/novel/beware-of-the-strongest-man-who-is-crazy-about-me/chapter-11/
2024-03-17 at 18:18:34 | INFO | got TEXT / Остерегайтесь самого сильного мужчины, который без ума от меня / 11 / https://salmonlatte.com/novel/beware-of-the-strongest-man-who-is-crazy-about-me/chapter-12/
2024-03-17 at 18:18:44 | INFO | Остерегайтесь самого сильного мужчины, который без ума от меня / https://salmonlatte.com/novel/beware-of-the-strongest-man-who-is-crazy-about-me/chapter-12/ / 200
2024-03-17 at 18:18:44 | INFO | got PAGE / Остерегайтесь самого сильного мужчины, который без ума от меня / https://salmonlatte.com/novel/beware-of-the-strongest-man-who-is-crazy-about-me/chapter-12/
2024-03-17 at 18:18:44 | INFO | got TEXT / Остерегайтесь самого сильного мужчины, который без ума от меня / 12 / https://salmonlatte.com/novel/beware-of-the-strongest-man-who-is-crazy-about-me/chapter-13/
2024-03-17 at 18:19:01 | INFO | Остерегайтесь самого сильного мужчины, который без ума от меня / https://salmonlatte.com/novel/beware-of-the-strongest-man-who-is-crazy-about-me/chapter-13/ / 200
2024-03-17 at 18:19:01 | INFO | got PAGE / Остерегайтесь самого сильного мужчины, который без ума от меня / https://salmonlatte.com/novel/beware-of-the-strongest-man-who-is-crazy-about-me/chapter-13/
2024-03-17 at 18:19:01 | INFO | got TEXT / Остерегайтесь самого сильного мужчины, который без ума от меня / 13 / https://salmonlatte.com/novel/beware-of-the-strongest-man-who-is-crazy-about-me/chapter-14/
2024-03-17 at 18:19:11 | INFO | Остерегайтесь самого сильного мужчины, который без ума от меня / https://salmonlatte.com/novel/beware-of-the-strongest-man-who-is-crazy-about-me/chapter-14/ / 200
2024-03-17 at 18:19:11 | INFO | got PAGE / Остерегайтесь самого сильного мужчины, который без ума от меня / https://salmonlatte.com/novel/beware-of-the-strongest-man-who-is-crazy-about-me/chapter-14/
2024-03-17 at 18:19:11 | INFO | got TEXT / Остерегайтесь самого сильного мужчины, который без ума от меня / 14 / https://salmonlatte.com/novel/beware-of-the-strongest-man-who-is-crazy-about-me/chapter-15/
2024-03-17 at 18:22:04 | INFO | Webpage name is sageinthepages.blogspot.com
2024-03-17 at 18:22:04 | INFO | Webpage name is storyseedling.com
2024-03-17 at 18:22:11 | INFO | Одета как мачеха героя садистского романа / https://sageinthepages.blogspot.com/2024/01/dshsn-00.html / 200
2024-03-17 at 18:22:11 | INFO | got PAGE / Одета как мачеха героя садистского романа / https://sageinthepages.blogspot.com/2024/01/dshsn-00.html
2024-03-17 at 18:22:11 | INFO | got TEXT / Одета как мачеха героя садистского романа / 1 / https://sageinthepages.blogspot.com/2024/01/dshsn-01.html
2024-03-17 at 18:22:21 | INFO | Одета как мачеха героя садистского романа / https://sageinthepages.blogspot.com/2024/01/dshsn-01.html / 200
2024-03-17 at 18:22:21 | INFO | got PAGE / Одета как мачеха героя садистского романа / https://sageinthepages.blogspot.com/2024/01/dshsn-01.html
2024-03-17 at 18:22:21 | INFO | got TEXT / Одета как мачеха героя садистского романа / 2 / https://sageinthepages.blogspot.com/2024/01/dshsn-02.html
2024-03-17 at 18:22:27 | INFO | Перевоплощение в комикс в роли богатого парня / https://storyseedling.com/series/145335/1/ / 200
2024-03-17 at 18:22:27 | INFO | got PAGE / Перевоплощение в комикс в роли богатого парня / https://storyseedling.com/series/145335/1/
2024-03-17 at 18:22:27 | INFO | got TEXT / Перевоплощение в комикс в роли богатого парня / 1 / https://storyseedling.com/series/145335/2
2024-03-17 at 18:22:33 | INFO | Одета как мачеха героя садистского романа / https://sageinthepages.blogspot.com/2024/01/dshsn-02.html / 200
2024-03-17 at 18:22:33 | INFO | got PAGE / Одета как мачеха героя садистского романа / https://sageinthepages.blogspot.com/2024/01/dshsn-02.html
2024-03-17 at 18:22:33 | INFO | got TEXT / Одета как мачеха героя садистского романа / 3 / https://sageinthepages.blogspot.com/2024/02/dshsn-03.html
2024-03-17 at 18:22:39 | INFO | Одета как мачеха героя садистского романа / https://sageinthepages.blogspot.com/2024/02/dshsn-03.html / 200
2024-03-17 at 18:22:40 | INFO | got PAGE / Одета как мачеха героя садистского романа / https://sageinthepages.blogspot.com/2024/02/dshsn-03.html
2024-03-17 at 18:22:40 | INFO | got TEXT / Одета как мачеха героя садистского романа / 4 / https://sageinthepages.blogspot.com/2024/02/dshsn-04.html
2024-03-17 at 18:22:42 | INFO | Перевоплощение в комикс в роли богатого парня / https://storyseedling.com/series/145335/2 / 200
2024-03-17 at 18:22:42 | INFO | got PAGE / Перевоплощение в комикс в роли богатого парня / https://storyseedling.com/series/145335/2
2024-03-17 at 18:22:42 | INFO | got TEXT / Перевоплощение в комикс в роли богатого парня / 2 / https://storyseedling.com/series/145335/3
2024-03-17 at 18:22:50 | INFO | Одета как мачеха героя садистского романа / https://sageinthepages.blogspot.com/2024/02/dshsn-04.html / 200
2024-03-17 at 18:22:50 | INFO | got PAGE / Одета как мачеха героя садистского романа / https://sageinthepages.blogspot.com/2024/02/dshsn-04.html
2024-03-17 at 18:22:50 | INFO | got TEXT / Одета как мачеха героя садистского романа / 5 / https://sageinthepages.blogspot.com/2024/02/admksf-000.html
2024-03-17 at 18:22:54 | INFO | Перевоплощение в комикс в роли богатого парня / https://storyseedling.com/series/145335/3 / 200
2024-03-17 at 18:22:54 | INFO | got PAGE / Перевоплощение в комикс в роли богатого парня / https://storyseedling.com/series/145335/3
2024-03-17 at 18:22:54 | INFO | got TEXT / Перевоплощение в комикс в роли богатого парня / 3 / https://storyseedling.com/series/145335/4
2024-03-17 at 18:23:00 | INFO | Одета как мачеха героя садистского романа / https://sageinthepages.blogspot.com/2024/02/admksf-000.html / 200
2024-03-17 at 18:23:00 | INFO | got PAGE / Одета как мачеха героя садистского романа / https://sageinthepages.blogspot.com/2024/02/admksf-000.html
2024-03-17 at 18:23:00 | INFO | got TEXT / Одета как мачеха героя садистского романа / 6 / https://sageinthepages.blogspot.com/2024/02/admksf-0011.html
2024-03-17 at 18:23:01 | INFO | Перевоплощение в комикс в роли богатого парня / https://storyseedling.com/series/145335/4 / 200
2024-03-17 at 18:23:01 | INFO | got PAGE / Перевоплощение в комикс в роли богатого парня / https://storyseedling.com/series/145335/4
2024-03-17 at 18:23:01 | INFO | got TEXT / Перевоплощение в комикс в роли богатого парня / 4 / https://storyseedling.com/series/145335/5
2024-03-17 at 18:23:08 | INFO | Одета как мачеха героя садистского романа / https://sageinthepages.blogspot.com/2024/02/admksf-0011.html / 200
2024-03-17 at 18:23:08 | INFO | got PAGE / Одета как мачеха героя садистского романа / https://sageinthepages.blogspot.com/2024/02/admksf-0011.html
2024-03-17 at 18:23:08 | INFO | got TEXT / Одета как мачеха героя садистского романа / 7 / https://sageinthepages.blogspot.com/2024/02/admksf-0012.html
2024-03-17 at 18:23:08 | INFO | Перевоплощение в комикс в роли богатого парня / https://storyseedling.com/series/145335/5 / 200
2024-03-17 at 18:23:08 | INFO | got PAGE / Перевоплощение в комикс в роли богатого парня / https://storyseedling.com/series/145335/5
2024-03-17 at 18:23:08 | INFO | got TEXT / Перевоплощение в комикс в роли богатого парня / 5 / https://storyseedling.com/series/145335/6
2024-03-17 at 18:23:22 | INFO | Одета как мачеха героя садистского романа / https://sageinthepages.blogspot.com/2024/02/admksf-0012.html / 200
2024-03-17 at 18:23:22 | INFO | got PAGE / Одета как мачеха героя садистского романа / https://sageinthepages.blogspot.com/2024/02/admksf-0012.html
2024-03-17 at 18:23:22 | INFO | got TEXT / Одета как мачеха героя садистского романа / 8 / https://sageinthepages.blogspot.com/2024/02/dshsn-05.html
2024-03-17 at 18:23:23 | INFO | Перевоплощение в комикс в роли богатого парня / https://storyseedling.com/series/145335/6 / 200
2024-03-17 at 18:23:23 | INFO | got PAGE / Перевоплощение в комикс в роли богатого парня / https://storyseedling.com/series/145335/6
2024-03-17 at 18:23:23 | INFO | got TEXT / Перевоплощение в комикс в роли богатого парня / 6 / https://storyseedling.com/series/145335/7
2024-03-17 at 18:23:29 | INFO | Одета как мачеха героя садистского романа / https://sageinthepages.blogspot.com/2024/02/dshsn-05.html / 200
2024-03-17 at 18:23:29 | INFO | got PAGE / Одета как мачеха героя садистского романа / https://sageinthepages.blogspot.com/2024/02/dshsn-05.html
2024-03-17 at 18:23:29 | INFO | got TEXT / Одета как мачеха героя садистского романа / 9 / https://sageinthepages.blogspot.com/2024/02/dshsn-06.html
2024-03-17 at 18:23:39 | INFO | Перевоплощение в комикс в роли богатого парня / https://storyseedling.com/series/145335/7 / 200
2024-03-17 at 18:23:39 | INFO | got PAGE / Перевоплощение в комикс в роли богатого парня / https://storyseedling.com/series/145335/7
2024-03-17 at 18:23:39 | INFO | got TEXT / Перевоплощение в комикс в роли богатого парня / 7 / https://storyseedling.com/series/145335/8
