2025-03-16 at 23:38:07 | INFO | Webpage name is clownandco.org
2025-03-16 at 23:38:07 | DEBUG | Add clownandco.org into StepperLibrary.json
2025-03-16 at 23:38:07 | INFO | Parsing finished / test
2025-03-17 at 14:10:26 | INFO | Webpage name is clownandco.org
2025-03-17 at 14:10:26 | DEBUG | Add clownandco.org into StepperLibrary.json
2025-03-17 at 14:10:26 | INFO | Parsing finished / BlackHorse
2025-03-17 at 14:11:29 | INFO | Webpage name is clownandco.org
2025-03-17 at 14:11:29 | ERROR | Invalid URL 'clownandco.org': No scheme supplied. Perhaps you meant https://clownandco.org?
2025-03-17 at 14:11:29 | INFO | got PAGE / Black Horse / clownandco.org
2025-03-17 at 14:11:29 | INFO | Parsing finished / Black Horse
2025-03-17 at 14:12:37 | INFO | Webpage name is clownandco.org
2025-03-17 at 14:12:39 | INFO | Black Horse / https://clownandco.org/show/the-black-horse/chapter-1/ / 200
2025-03-17 at 14:12:39 | ERROR | parsing error / Couldn't find a tree builder with the features you requested: lxml. Do you need to install a parser library?
2025-03-17 at 14:13:28 | INFO | Webpage name is clownandco.org
2025-03-17 at 14:13:30 | INFO | Black Horse / https://clownandco.org/show/the-black-horse/chapter-1/ / 200
2025-03-17 at 14:13:30 | INFO | got PAGE / Black Horse / https://clownandco.org/show/the-black-horse/chapter-1/
2025-03-17 at 14:13:30 | INFO | got TEXT / Black Horse / 1 / https://clownandco.org/show/the-black-horse/chapter-2/
2025-03-17 at 14:13:31 | INFO | Black Horse / https://clownandco.org/show/the-black-horse/chapter-2/ / 200
2025-03-17 at 14:13:31 | INFO | got PAGE / Black Horse / https://clownandco.org/show/the-black-horse/chapter-2/
2025-03-17 at 14:13:31 | INFO | got TEXT / Black Horse / 2 / https://clownandco.org/show/the-black-horse/chapter-3/
2025-03-17 at 14:13:34 | INFO | Black Horse / https://clownandco.org/show/the-black-horse/chapter-3/ / 200
2025-03-17 at 14:13:34 | INFO | got PAGE / Black Horse / https://clownandco.org/show/the-black-horse/chapter-3/
2025-03-17 at 14:13:34 | INFO | got TEXT / Black Horse / 3 / https://clownandco.org/show/the-black-horse/chapter-4/
2025-03-17 at 14:13:36 | INFO | Black Horse / https://clownandco.org/show/the-black-horse/chapter-4/ / 200
2025-03-17 at 14:13:36 | INFO | got PAGE / Black Horse / https://clownandco.org/show/the-black-horse/chapter-4/
2025-03-17 at 14:13:36 | INFO | got TEXT / Black Horse / 4 / https://clownandco.org/show/the-black-horse/chapter-5/
2025-03-17 at 14:13:37 | INFO | Black Horse / https://clownandco.org/show/the-black-horse/chapter-5/ / 200
2025-03-17 at 14:13:37 | INFO | got PAGE / Black Horse / https://clownandco.org/show/the-black-horse/chapter-5/
2025-03-17 at 14:13:37 | INFO | got TEXT / Black Horse / 5 / https://clownandco.org/show/the-black-horse/chapter-6/
2025-03-17 at 14:13:39 | INFO | Black Horse / https://clownandco.org/show/the-black-horse/chapter-6/ / 200
2025-03-17 at 14:13:39 | INFO | got PAGE / Black Horse / https://clownandco.org/show/the-black-horse/chapter-6/
2025-03-17 at 14:13:39 | INFO | got TEXT / Black Horse / 6 / https://clownandco.org/show/the-black-horse/chapter-7/
2025-03-17 at 14:13:40 | INFO | Black Horse / https://clownandco.org/show/the-black-horse/chapter-7/ / 200
2025-03-17 at 14:13:40 | INFO | got PAGE / Black Horse / https://clownandco.org/show/the-black-horse/chapter-7/
2025-03-17 at 14:13:40 | INFO | got TEXT / Black Horse / 7 / https://clownandco.org/show/the-black-horse/chapter-8/
2025-03-17 at 14:13:42 | INFO | Black Horse / https://clownandco.org/show/the-black-horse/chapter-8/ / 200
2025-03-17 at 14:13:42 | INFO | got PAGE / Black Horse / https://clownandco.org/show/the-black-horse/chapter-8/
2025-03-17 at 14:13:42 | INFO | got TEXT / Black Horse / 8 / https://clownandco.org/show/the-black-horse/chapter-9/
2025-03-17 at 14:13:43 | INFO | Black Horse / https://clownandco.org/show/the-black-horse/chapter-9/ / 200
2025-03-17 at 14:13:43 | INFO | got PAGE / Black Horse / https://clownandco.org/show/the-black-horse/chapter-9/
2025-03-17 at 14:13:43 | INFO | got TEXT / Black Horse / 9 / https://clownandco.org/show/the-black-horse/chapter-10/
2025-03-17 at 14:13:45 | INFO | Black Horse / https://clownandco.org/show/the-black-horse/chapter-10/ / 200
